代茶饮,中药材,功效,适用人群,禁忌人群
姜枣茶,枸杞子、 干桂圆、 生姜、 姜枣、 红糖,补血益气、 保健的好处、 补血正气、 提高免疫力,作家,
枸杞子茶,枸杞,养肝明目、改善熬夜后出现腰膝酸软、补血安神,熬夜后出现腰膝酸软、眼睛疲劳干涩,熬夜
玫瑰薄荷茶,菊花、 薄荷、 决明子,活血化淤、 舒缓情绪、 驱除疲劳,电脑族、 女性上班族,电脑族、 女性上班族
红枣山楂茶,山楂、 红枣,补气益血、 对肝脏的保护作用、 开胃健脾,女性、 女人、 肝脏功能不好,女人、 女性
荷菊花茶,菊花,全身无力、易上火、清热解毒、精神不振、缓解疲劳、脏的保护作用,全身无力、口腔溃疡、易上火、熬夜后口腔溃疡、精神不振,熬夜
菊花人参茶,人参,滋阴补气、 清肝明目,熬夜后容易出现视力疲劳、 身体虚弱的女性,熬夜后容易出现视力疲劳、 身体虚弱的女性
9～15克,决明子,医疗保健作用、 降压、 泄泻,脾胃虚寒、 脾虚泄泻的人、 血热的人、 身体素质比较差的人、 低血压,脾胃虚寒、 脾虚泄泻的人、 血热的人、 身体素质比较差的人、 低血压
茅岩莓茶长期喝成肝脏衰竭；茅岩莓喝多伤肝吗？,茅岩莓,改善睡眠、 保护心脑健康、 提高免疫力、 改善肠胃炎等各种常见症状、 消炎解毒、 肝细胞解毒功能、 保护作用、 抗氧化、 修复肝组织细胞的损伤、 促进细胞再生、 调节肝细胞氧化代谢功能、 降低血清ALT浓度、 改善肝细胞生物膜活性、 清除过剩自由基、 缓解效果,肝炎,肝炎
正山小种,正山小种、 茶叶,分解油腻、 加快肠胃消化、 解析酵素、 刺激作用,贫血的人、 体质较差、消瘦、营养不良的人、 长期食素的人群、 营养不良的人、 怀孕、 脾胃衰弱、 慢性肠胃溃疡的人群、 容易失眠的人群、 消瘦、营养不良的人、 女性、 哺乳、 月经期间的女性、 睡眠质量较差、容易失眠的人群,贫血的人、 营养不良的人、 长期食素的人群、 怀孕、 脾胃衰弱、 慢性肠胃溃疡的人群、 容易失眠的人群、 消瘦、营养不良的人、 女性、 哺乳、 月经期间的女性
红茶,薄荷、 黄芪、 甘蔗、 桂花、 蜂蜜、 玫瑰花、 生姜、 桂圆、 柠檬,养胃又健康、 止咳化痰、 调和脾胃、 祛湿、 滋阴补气、 生津解渴、 理气疏肝、 缓解疲劳、 润肺生津、 口干口渴症状、 暖身驱寒、 滋补、 补充营养、 安神助眠、 改善月经不调、 暖胃驱寒、 清热解暑、 改善喉咙干痒、 气血虚弱、 润肠通便、 美容养颜、 下火去燥,晚上容易烦躁焦虑的人、 体质虚寒的女性、 容易咳嗽肺不好的人、 女性、 容易咳嗽的人,晚上容易烦躁焦虑的人、 体质虚寒的女性、 容易咳嗽肺不好的人、 女性、 容易咳嗽的人
